,klant,eigenaar,product_soort,locatie,kwaliteit,klantaanduiding,batch_nummer,batch_volg_nummer,kl_lengte,klant_breedte,klant_dikte,lm_lengte_,lm_breedte,lm_dikte,administratief_gewicht,aantal_stuks,totaal_gealloceerd,coil_nummer_leverancier,klantreferentie,attest_nummer,eerste_charge_nummer,verkoop_order_nummer,omschrijving,binnendiam_coil,buitendiam_coil,binnenbreedte_coil,buitenbreedte_coil,tekst,aanvoerdatum,laatste_transactie,werkbonnummer,bewerking,STATUS,lijst_van_bewerk,werkbonnummer2,bewerking3,STATUS4,lijst_van_bewerk5,laadlijstnummer,geolied,gebeitst,bezoomd,materiaal_status,afroep_referentie,leverdatum,afleveradres,verpakking,Gestempeld,a_nummer,gekoppeld_aan_afroep,bewerking_referentie,coilnummer_leverancier
4501,Jacqueline Schwartz,Christopher Cowan,PLAAT,LC25,S235,Saey 235 pos1,J8992,8.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,"2162,86",3090911,20827603,9568,439032,68,351,740.0,1965.0,1516.0,1516.0,64,2020-05-04,2020-05-04,7,,,,7319607,DECOILEN,3,DE,808,0.0,0.0,0.0,,7101361/4500032214,2020-06-05,"549 Waters Underpass Apt. 988
Lake Stevenville, ND 87431",PACKA,0.0,8,,5,38340357
4502,Laura Garcia,Brian Mason,PLAAT,LC25,S235,Saey 235 pos1,J8992,9.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,"2162,86",3090911,8150,1652240,3937,417,465,740.0,1965.0,1516.0,1516.0,4780103,2020-05-04,2020-05-04,133360,,,,5682,DECOILEN,3,DE,3469,0.0,0.0,0.0,,7101361/4500032214,2020-06-05,"416 Hays Crossing Apt. 694
Toddhaven, PR 57847",PACKA,0.0,590453332,,122820892,4155
4503,James Rocha,Christy Walls,PLAAT,LC25,S235,Saey 235 pos1,J8992,10.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,"2162,86",3090911,9,20,853603009,3038436,917046,740.0,1965.0,1516.0,1516.0,7,2020-05-04,2020-05-04,0,,,,95978,DECOILEN,3,DE,41766874,0.0,0.0,0.0,,7101361/4500032214,2020-06-05,"PSC 1588, Box 6021
APO AA 36683",PACKA,0.0,274,,67,7897
4504,Lisa Salinas,Linda Smith,PLAAT,LC25,S235,Saey 235 pos1,J8992,11.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,"2162,86",3090911,4,77,18327314,486548,969559592,740.0,1965.0,1516.0,1516.0,42382459,2020-05-04,2020-05-04,57,,,,19110443,DECOILEN,3,DE,58,0.0,0.0,0.0,,7101361/4500032214,2020-06-05,"18975 Rubio Dam
South Elaineborough, IN 82957",PACKA,0.0,6388995,,5,382
4505,Michelle Bell,Cheryl Alvarez,PLAAT,LC25,S235,Saey 235 pos1,J8992,12.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","720,95",1,"720,95",3090911,80059313,529592,831,6238720,9481,740.0,1965.0,1516.0,1516.0,63695,2020-05-04,2020-05-04,4907,,,,244,DECOILEN,3,DE,2,0.0,0.0,0.0,,7101361/4500032214,2020-06-05,"07424 David Way Apt. 040
Deleonberg, NV 58177",PACKA,0.0,2937,,5605468,23481
4506,Katelyn Anderson,Lindsey Parrish,PLAAT,LC12,S235,Saey 235 pos2,J8992,13.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,0,3090911,2853634,194262,296,121953,386,740.0,1965.0,1516.0,1516.0,3,2020-05-04,2020-05-12,24956812,,,,8788887,DECOILEN,3,DE,53549,0.0,0.0,0.0,,,,"52153 Allen Dale Suite 836
West Michaelton, NE 90654",PACKA,0.0,522922,,5,106049
4507,Sarah Middleton,Patrick Gardner,PLAAT,LC14,S235,Saey 235 pos2,J8992,14.0,3000.0,1500.0,20,3000.0,1516.0,"20,03","2162,86",3,0,3090911,62252494,48,67847,36,53,740.0,1965.0,1516.0,1516.0,3584934,2020-05-04,2020-05-18,66711,,,,55,DECOILEN,3,DE,444537,0.0,0.0,0.0,,,,"482 Wood Orchard Suite 547
East Amberton, IN 05742",PACKA,0.0,3,,352741,52
4508,Ricky Fry,Katelyn Ryan,COILS,MGZN,OV22,ov DD11,J9003,0.0,0.0,1520.0,8,0.0,1520.0,8,25045,1,,1472055,60,77423562,726995480,75,778933852,750.0,1810.0,1533.0,1533.0,1677308,2020-02-28,2020-03-12,7,,,,8402,,,,6166,0.0,0.0,0.0,,,,"819 Vasquez Pines
Port Shawnfurt, PR 99742",onbekend,,721,,194,98586082
4509,Jennifer Jones,Richard Salinas,COILS,MGZN,DD11,DD11,J9004,0.0,0.0,980.0,"1,5",0.0,1000.0,"1,5",15600,1,,743131,860903312,9,9,67884,339136,610.0,1700.0,1017.0,1017.0,2285334,2020-02-28,2020-04-17,852223,,,,515777966,,,,54844057,1.0,1.0,0.0,,,,"03361 Melanie Grove Suite 737
Diazton, DC 29000",onbekend,,5,,95576,59
4510,Megan Black,Mary Salazar,COILS,MGZN,DD11,DD11,J9005,0.0,0.0,980.0,"1,5",0.0,1000.0,"1,5",15620,1,,743130,52278,6060,0,4637971,1658802,600.0,1700.0,1016.0,1016.0,841,2020-02-28,2020-04-17,765,,,,80,,,,4728612,1.0,1.0,0.0,,,,"32665 Mora Burgs
North Christinabury, MN 90740",onbekend,,649683895,,6390,5257443
4511,Mary Howard,Christopher Peterson,COILS,G093,DD11,DD11,J9006,0.0,0.0,980.0,"1,5",0.0,1000.0,"1,5",17960,1,,742989A,7,72015,34448,31725795,421435617,600.0,1811.0,1023.0,1023.0,3416,2020-02-28,2020-04-17,406,,,,955508785,,,,487026,1.0,1.0,0.0,,,,"953 Gregory Turnpike
South Amanda, IL 16075",onbekend,,0,,435,78
4512,Renee Dennis,Scott Warner,COILS,G159,DD11,DD11,J9007,0.0,0.0,980.0,"1,5",0.0,1000.0,"1,5",18320,1,,743129A,6339,82,19,612,8497285,600.0,1885.0,1019.0,1019.0,540,2020-02-28,2020-03-02,735759346,,,,1398,,,,95,1.0,1.0,0.0,,,,"13001 Wesley Shoal
Lake Cassandrabury, IA 17620",onbekend,,2314,,61,1984986
4513,Samantha Edwards DDS,Christine Hernandez,COILS,F120,OV22,ov DD11,J9030,0.0,0.0,1250.0,4,0.0,1250.0,4,13460,1,,743271,137742,3,59882216,6590,61036,600.0,1450.0,1250.0,1250.0,60,2020-02-20,2020-04-17,362,,,,1,,,,743,1.0,1.0,0.0,,,,"47490 Benjamin Ferry
South Jamieland, OH 07545",onbekend,,7147777,,77226,9
4514,Mallory Christensen,Ashley Williams,PLAAT,LC31,S355M,S355MC GG,J9069,7.0,3000.0,1500.0,10,3000.0,1512.0,"9,98","2487,55",7,,45147,559,91,4,462,455,605.0,1860.0,1512.0,1512.0,228,2020-04-01,2020-04-08,90066,,,,27,DECOILEN,3,DE,0,1.0,1.0,0.0,,,,"6537 Moyer Burg
West Sean, FM 96749",PACKI,0.0,3185,,24,8324
4515,William Thomas,Eric Rivera,PLAAT,LC32,S355M,S355MC GG,J9069,8.0,3000.0,1500.0,10,3000.0,1512.0,"9,98","2487,55",7,,45147,221,309,47,48235,87,605.0,1860.0,1512.0,1512.0,2628411,2020-04-01,2020-06-03,4126303,,,,7064,DECOILEN,3,DE,602923543,1.0,1.0,0.0,,,,"PSC 4833, Box 6521
APO AA 12305",PACKI,0.0,3520,,916301294,54617985
4516,Raymond Burke,Cheryl Gray,PLAAT,LC33,S355M,S355MC GG,J9069,9.0,3000.0,1500.0,10,3000.0,1512.0,"9,98","2487,55",7,,45147,27,755269,641,1,779,605.0,1860.0,1512.0,1512.0,3,2020-04-01,2020-06-03,8482,,,,8055165,DECOILEN,3,DE,40,1.0,1.0,0.0,,,,"USS Walker
FPO AE 01904",PACKI,0.0,85,,21307,394970
4517,Mary Newton,Erica Miller,COILS,MGZN,S355M,CDR-S355MCg10,J9072,0.0,0.0,1500.0,10,0.0,1500.0,10,29080,1,,45150,3160647,4671,7874891,10816,7,610.0,1870.0,1500.0,1500.0,54,2020-02-14,2020-03-12,3266,DECOILEN,P,DE,542,,,,59226394,1.0,1.0,0.0,,,,"482 Calhoun Square Apt. 409
New Michelle, MP 48362",onbekend,,15,AU330062817-010-1,13681,99038068
4518,Margaret Fletcher,Wanda Shannon,PLAAT,LA15,S355M,S355MC GG.,J9094,9.0,2500.0,1250.0,8,2500.0,1250.0,"8,03","398,81",2,,1618051000,6397093,156270361,757,574081189,232320689,610.0,1890.0,1277.0,1277.0,48,2020-03-13,2020-03-13,2795476,,,,9,DECOILEN,3,DE,9413,1.0,1.0,1.0,,,,"12021 Lopez Creek
East Gabrielport, MP 58078",PACKI,0.0,78,,67992511,6484
4519,Marissa Schwartz,Stephen Robinson,COILS,MGZN,S355M,CEU-S355MCg8,J9097,0.0,0.0,1265.0,8,0.0,1275.0,"7,99",25140,1,,1618052000,5445,5,18,32,70,600.0,1885.0,1275.0,1275.0,4497600,2020-02-14,2020-02-17,515611,,,,3,,,,834180276,1.0,1.0,0.0,,,,"9973 Mccullough Junctions
Vanessatown, AR 48230",onbekend,,907,,129926,71
4520,Michael Alvarez,Michael Carpenter,PLAAT,LB21,S355M,S355MC GG.,J9100,6.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","2213,32",16,,1617286000,946508785,39,362725,668556322,15529848,610.0,1990.0,1132.0,1132.0,47,2020-03-10,2020-03-10,6732,,,,23918,DECOILEN,3,DE,182,1.0,1.0,1.0,,,,"984 Donald Square
West Dean, CT 84460",PACKA,0.0,39719197,,21,9
4521,Jeffrey Lee,Sophia Gordon,PLAAT,LB21,S355M,S355MC GG.,J9100,7.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","2213,32",16,,1617286000,5,934086767,746299499,44,954256,610.0,1990.0,1132.0,1132.0,72779,2020-03-10,2020-03-10,41,,,,75439,DECOILEN,3,DE,30,1.0,1.0,1.0,,,,"8828 Garcia Hill Suite 443
West Shannonside, MA 94408",PACKA,0.0,6990542,,988943,8575032
4522,Carl Sanchez,Kathryn Graves,PLAAT,LB21,S355M,S355MC GG.,J9100,8.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","2213,32",16,,1617286000,742512,51123,9,63191,7896508,610.0,1990.0,1132.0,1132.0,56920112,2020-03-10,2020-03-10,6,,,,8310,DECOILEN,3,DE,89016563,1.0,1.0,1.0,,,,"2247 Sheila Hollow Suite 706
New Kyleburgh, GA 55330",PACKA,0.0,8807,,95,2
4523,Walter Alvarez,Monique Wyatt,PLAAT,LC47,S355M,S355MC GG.,J9100,9.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","2213,32",16,,1617286000,81487,944,9936789,1004636,864691,610.0,1990.0,1132.0,1132.0,6,2020-03-10,2020-03-14,567032993,,,,10122,DECOILEN,3,DE,113948,1.0,1.0,1.0,,,,"8396 Jones Squares
East Pamelaton, TN 25001",PACKA,0.0,810857,,99,4
4524,Lisa Cook,Crystal Hawkins,PLAAT,LC47,S355M,S355MC GG.,J9100,10.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","2213,32",16,,1617286000,438693,2401,3117,76,437422928,610.0,1990.0,1132.0,1132.0,745418,2020-03-10,2020-03-14,67405,,,,3263744,DECOILEN,3,DE,122825632,1.0,1.0,1.0,,,,"11533 Brown Row
Grayside, HI 43614",PACKA,0.0,36289757,,70,2591150
4525,Rose Short,Eric Haynes,PLAAT,LC47,S355M,S355MC GG.,J9100,11.0,2000.0,1100.0,8,2000.0,1100.0,"8,01","1521,66",11,,1617286000,81948,8242,546307,1,197684,610.0,1990.0,1132.0,1132.0,5666,2020-03-10,2020-03-14,7045328,,,,4337106,DECOILEN,3,DE,7143,1.0,1.0,1.0,,,,"0726 Brandon Rapid Suite 670
Dianeberg, ID 60295",PACKA,0.0,67334,,625,80080
4526,Kimberly Carter,Tina Nunez,COILS,MGZN,DD11,DD11,J9104,0.0,0.0,1250.0,3,0.0,1250.0,3,10940,1,10940,743466,78258,37210335,4,33507817,5,600.0,1335.0,1265.0,1265.0,9338468,2020-02-28,2020-04-15,7956557,,,,86451,,,,1534709,1.0,1.0,0.0,,Y610,2020-03-10,"089 Jones Divide
Susanfort, TN 73139",onbekend,,231983,,719975303,679977
4527,Mario Mccarthy,Michelle Clark,COILS,MGZN,DD11,DD11,J9145,0.0,0.0,2015.0,7,0.0,2012.0,"6,98",31080,1,,1331017,933,1558603,9327,97247828,3,740.0,1760.0,2012.0,2012.0,22,2020-02-17,2020-02-19,373015,,,,164482,,,,9,0.0,0.0,0.0,,,,"35204 Myers Rapid Apt. 136
East Anthonybury, WI 95458",onbekend,,246,,891642,8
4528,Michael Le,Anne Chavez,PLAAT,LB16,S355M,S355MC,J9146,1.0,4000.0,1675.0,4,4000.0,1705.0,4,"2355,65",11,"2355,65",1397045,66,2,77496857,7,63,750.0,1861.0,1705.0,1705.0,8350,2020-04-30,2020-04-30,906,,,,241,DECOILEN,3,DE,592,0.0,0.0,0.0,,137770/LM,2020-04-24,"31328 Wilson Hollow
Donnastad, IL 39711",PACKB,0.0,90,,44,6469780
4529,Lauren Moore,Matthew Brown,PLAAT,LB16,S355M,S355MC,J9146,13.0,4000.0,1675.0,4,4000.0,1705.0,4,"1713,2",8,"1713,2",1397045,18,644695012,602521,161177455,2971,750.0,1861.0,1705.0,1705.0,451475,2020-04-30,2020-04-30,3808947,,,,63028183,DECOILEN,3,DE,86,0.0,0.0,0.0,,137770/LM,2020-04-24,"158 Kenneth Bypass
Branditown, AZ 17109",PACKB,0.0,119891127,,81,2
4530,Courtney Russo,Michelle Perez,COILS,A036,S355M,S355MC,J9147,0.0,0.0,2009.0,"4,95",0.0,2015.0,"5,03",9530,1,,1324019,34795,9782,3,43157826,685190068,755.0,1165.0,2015.0,2015.0,3994935,2020-02-17,2020-04-16,78,DECOILEN,3,DE,581,,,,551,0.0,0.0,0.0,,,,"2304 Cook Wall Suite 573
North Ericland, AL 92535",onbekend,,4142,ESBB326101/1329,9662,8
4531,Michael Morrison,Derek Navarro,COILS,MGZN,S355M,S355MC,J9148,0.0,0.0,1510.0,4,0.0,1540.0,"3,99",25320,1,,1423063,48,2,79978,605946,2,740.0,1810.0,1540.0,1540.0,3245816,2020-02-17,2020-02-19,0,,,,84745950,,,,60289,0.0,0.0,0.0,,,,"95245 Dylan Curve Suite 229
Watkinsville, OK 23683",onbekend,,56507,,702,670
4532,Jason Hughes DVM,Sharon Whitney,COILS,MGZN,S355M,S355MC,J9161,0.0,0.0,1520.0,3,0.0,1523.0,"3,05",30480,1,,56659-01,2,52,69946,6231,568278,795.0,1973.0,1523.0,1523.0,5072914,2020-02-18,2020-02-19,7197,,,,8258,,,,2359207,0.0,0.0,0.0,,,,"2767 Jo Place
North Lori, AS 56238",onbekend,,58542379,,857681303,1
4533,Bridget Martin,Tara Martin,COILS,D065,S235J,S235JR,J9162,0.0,0.0,1520.0,3,0.0,1531.0,"2,9",30360,1,,65873-01,18913861,88505,3376203,663417,5537,840.0,2038.0,1531.0,1531.0,8,2020-02-18,2020-02-19,6,,,,8,,,,791012,0.0,0.0,0.0,,,,"Unit 3808 Box 9645
DPO AP 83921",onbekend,,861,,0,2504916
4534,Michael Osborne,Randy Anderson,PLAAT,LC25,S355M,S355MC,J9163,3.0,3000.0,1500.0,4,3000.0,1500.0,"3,92","2515,04",18,,61525-01,823744,179,424049,6974531,82,820.0,1960.0,1534.0,1534.0,25,2020-04-21,2020-05-12,355995,,,,72237226,DECOILEN,3,DE,93971,0.0,0.0,1.0,,,,"429 Mary Cliff
East Tammie, MN 70097",PACKA,0.0,988,,6,902
4535,Kimberly Holloway,Jasmine Brennan,PLAAT,LC29,S355M,S355MC,J9163,4.0,3000.0,1500.0,4,3000.0,1500.0,"3,92","2515,04",18,,61525-01,638760988,6118639,270,113693,896807,820.0,1960.0,1534.0,1534.0,62046,2020-04-21,2020-05-20,8953,,,,64524,DECOILEN,3,DE,70,0.0,0.0,1.0,,,,"74656 Karen Villages Suite 536
Smithchester, AL 64325",PACKA,0.0,964124,,567127,4
4536,Joshua Thompson DVM,Richard Vasquez,COILS,MGZN,S235J,S235JR,J9166,0.0,0.0,1520.0,8,0.0,1528.0,"7,96",30600,1,,3179-01,5,6,246638,1125485,41422,805.0,2005.0,1528.0,1528.0,663013,2020-02-18,2020-02-19,858906280,,,,6844,,,,714113,0.0,0.0,0.0,,,,"61003 Donald Squares
Elizabethstad, MT 64846",onbekend,,2383,,9137408,68694122
4537,Timothy Kirby,Michele Stephenson,COILS,C171,S235J,S235JR,J9168,0.0,0.0,1520.0,8,0.0,1528.0,8,30580,1,30640,3135-01,615,67,1825,116273,2033,610.0,1909.0,1528.0,1528.0,8224,2020-02-18,2020-05-06,67,,,,66752971,,,,4,1.0,1.0,0.0,,2022665,2020-04-16,"USS Esparza
FPO AP 02515",onbekend,,7189,,38,920171
4538,Anthony Gonzalez,Roberta Brown,PLAAT,LC25,S235J,S235JR,J9169,1.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,918755,3,50,7697,22529,800.0,2000.0,1534.0,1534.0,358473,2020-03-10,2020-03-10,1443,,,,124370,DECOILEN,3,DE,501917,0.0,0.0,1.0,,,,"Unit 0195 Box 0768
DPO AA 83246",PACKA,0.0,166,,8,155
4539,Allison Hudson,Dr. Christine Cooper,PLAAT,LC25,S235J,S235JR,J9169,2.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,5229336,6,2381,51456,1327696,800.0,2000.0,1534.0,1534.0,457701602,2020-03-10,2020-03-10,964634,,,,80,DECOILEN,3,DE,58,0.0,0.0,1.0,,,,"5452 Gallegos Stravenue Apt. 533
Johnstad, AR 45312",PACKA,0.0,30670747,,282691,0
4540,Stacy Wright,Tammy Gonzales,PLAAT,LC25,S235J,S235JR,J9169,3.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,866,749,65336,7,94778,800.0,2000.0,1534.0,1534.0,9884479,2020-03-10,2020-03-10,7,,,,1301323,DECOILEN,3,DE,88935451,0.0,0.0,1.0,,,,"USNS Villegas
FPO AP 61890",PACKA,0.0,74919095,,22604116,7951
4541,Peter Harrington,Carrie Stuart,PLAAT,LC25,S235J,S235JR,J9169,4.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,2546705,555320442,4336118,930111401,8,800.0,2000.0,1534.0,1534.0,7467599,2020-03-10,2020-03-10,9,,,,7,DECOILEN,3,DE,45610,0.0,0.0,1.0,,,,"3732 Melissa Ridge Apt. 813
Courtneyhaven, UT 28999",PACKA,0.0,181266905,,2032077,28230
4542,Harry Williams,Robert Shelton,PLAAT,LC25,S235J,S235JR,J9169,8.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,24985,79,680076782,6161494,19062,800.0,2000.0,1534.0,1534.0,76757795,2020-03-10,2020-03-10,6537,,,,178986,DECOILEN,3,DE,447,0.0,0.0,1.0,,,,"9355 Terri Extensions Apt. 835
North Dana, FL 73410",PACKA,0.0,311959340,,4,273
4543,Joseph Harris,Kevin Henderson,PLAAT,LC25,S235J,S235JR,J9169,9.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,25647,403127889,54,1974,6623064,800.0,2000.0,1534.0,1534.0,321,2020-03-10,2020-03-10,126534250,,,,4058407,DECOILEN,3,DE,8911,0.0,0.0,1.0,,,,"Unit 7734 Box 3514
DPO AP 30162",PACKA,0.0,398722779,,369,5768
4544,Angelica Terry,Leonard Davis,PLAAT,LC25,S235J,S235JR,J9169,10.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,455,44581680,17178,8994,14005849,800.0,2000.0,1534.0,1534.0,6,2020-03-10,2020-03-10,27,,,,1,DECOILEN,3,DE,4,0.0,0.0,1.0,,,,"8798 Park Rapid Apt. 466
Rushborough, GA 42832",PACKA,0.0,9841757,,8418,231
4545,Nicole Randall,Michael Smith,PLAAT,LC25,S235J,S235JR,J9169,11.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,67,1857,6,23,74439,800.0,2000.0,1534.0,1534.0,256408,2020-03-10,2020-03-10,1183,,,,9588742,DECOILEN,3,DE,91,0.0,0.0,1.0,,,,"USCGC Moore
FPO AA 59490",PACKA,0.0,319843,,46809205,992341
4546,Heather Wilson,Christopher York,PLAAT,LC25,S235J,S235JR,J9169,12.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","2483,19",14,,3123-01,45406400,496290,622128610,766688464,4748421,800.0,2000.0,1534.0,1534.0,94371607,2020-03-10,2020-03-10,5067592,,,,700378232,DECOILEN,3,DE,6934,0.0,0.0,1.0,,,,"6226 Brittney Fields Apt. 070
Simonview, PA 74388",PACKA,0.0,4,,5,939
4547,Ryan Scott,Heather Harris,PLAAT,LC25,S235J,S235JR,J9169,13.0,3000.0,1500.0,5,3000.0,1500.0,"4,97","1241,57",7,,3123-01,196726,4203,409,83138,20,800.0,2000.0,1534.0,1534.0,836363,2020-03-10,2020-03-10,45,,,,390415012,DECOILEN,3,DE,866155094,0.0,0.0,1.0,,,,"774 Melendez Club Suite 103
South Kevinland, OR 15079",PACKA,0.0,3,,772057,941
4548,Paul Collins,Mr. Jordan Morris DDS,COILS,MGZN,S235J,S235JR,J9170,0.0,0.0,1520.0,4,0.0,1530.0,"3,92",30760,1,,3053-02,7919632,1,255749,489661,3011,795.0,2025.0,1530.0,1530.0,6182894,2020-02-18,2020-02-19,4,,,,7117492,,,,253756,0.0,0.0,0.0,,,,"8035 Whitaker Knolls
Murraychester, ND 72909",onbekend,,88911804,,9368,5514
4549,Margaret Brooks,Emily Paul,COILS,MGZN,S235J,S235JR,J9171,0.0,0.0,1520.0,4,0.0,1536.0,"3,92",30300,1,,3053-01,599,2,53,4,58199,817.0,1990.0,1536.0,1536.0,27043818,2020-02-18,2020-02-19,8315,,,,491,,,,21540533,0.0,0.0,0.0,,,,"080 Turner Center
New Danmouth, VT 88286",onbekend,,174,,17,9943697
4550,Matthew Barron,Alexis Martinez,COILS,MGZN,S235J,S235JR,J9172,0.0,0.0,1520.0,6,0.0,1532.0,"5,92",30800,1,,3049-02,5,34,70476,3233685,4512,830.0,2029.0,1532.0,1532.0,0,2020-02-18,2020-02-19,9876842,,,,2509025,,,,81484,0.0,0.0,0.0,,,,"8832 Turner Fork
Lake Josehaven, KY 83685",onbekend,,9,,3740,4496992
4551,Carlos Cross,Kevin Thompson,PLAAT,LC07,S235J,S235JR GG.,J9173,13.0,3000.0,1500.0,6,3000.0,1500.0,"5,9","1888,98",9,,3049-01,152,349199728,387,72398236,689,610.0,1899.0,1531.0,1531.0,161655678,2020-04-20,2020-04-28,3139,,,,3,DECOILEN,3,DE,102544164,1.0,1.0,1.0,,,,"692 Sarah Heights
Delgadobury, PA 20227",PACKI,0.0,1960512,,932138686,61880
4552,Miss Kimberly Underwood,Maria Harris,PLAAT,LC07,S235J,S235JR GG.,J9173,14.0,3000.0,1500.0,6,3000.0,1500.0,"5,9","1888,98",9,,3049-01,876325470,38461733,214742,713935,76,610.0,1899.0,1531.0,1531.0,1,2020-04-20,2020-04-28,4615,,,,8,DECOILEN,3,DE,446929,1.0,1.0,1.0,,,,"13346 Guerrero Prairie
Kathleenfurt, IL 24136",PACKI,0.0,56587,,707658145,6470766
4553,Ariel Garcia,Laura Gray,PLAAT,LC08,S235J,S235JR GG.,J9174,2.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,324710522,35303,1153325,626092797,90278495,600.0,1910.0,1530.0,1530.0,758,2020-05-14,2020-05-14,27,,,,2522,DECOILEN,3,DE,75529,1.0,1.0,1.0,,,,"6949 Davis Stravenue
Taylorburgh, MS 34400",PACKI,0.0,719,,1722713,59933669
4554,Randall Krause,Rachel Walker,PLAAT,LC08,S235J,S235JR GG.,J9174,3.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,66164,8,4344,13,677,600.0,1910.0,1530.0,1530.0,46402761,2020-05-14,2020-05-14,9192,,,,4544,DECOILEN,3,DE,59966,1.0,1.0,1.0,,,,"25430 Robert Keys
West Melindatown, IA 20963",PACKI,0.0,7,,3,35906130
4555,Angela French,Brian Bailey,PLAAT,LC08,S235J,S235JR GG.,J9174,4.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,291188807,97633,10,9899188,26507048,600.0,1910.0,1530.0,1530.0,5,2020-05-14,2020-05-14,564359020,,,,8099,DECOILEN,3,DE,283021,1.0,1.0,1.0,,,,"354 Cooper Fords
Port Andrew, ME 39141",PACKI,0.0,774,,69856,938509179
4556,Tommy Pierce,Lydia Dalton,PLAAT,LC08,S235J,S235JR GG.,J9174,5.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,197029612,42,17,0,5844135,600.0,1910.0,1530.0,1530.0,952681458,2020-05-14,2020-05-14,67096759,,,,16742,DECOILEN,3,DE,90,1.0,1.0,1.0,,,,"152 Katelyn Track
Lake Charles, LA 95755",PACKI,0.0,9219915,,820445,86077
4557,Shawn Harvey,Emily Franklin,PLAAT,LC08,S235J,S235JR GG.,J9174,6.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,915715274,88698821,69,81,51,600.0,1910.0,1530.0,1530.0,75,2020-05-14,2020-05-14,4550016,,,,65,DECOILEN,3,DE,9,1.0,1.0,1.0,,,,"250 Aaron Trace
Port Jenniferport, AK 49475",PACKI,0.0,20,,9662236,78771
4558,Rachel Sanchez,Michael Houston,PLAAT,LC08,S235J,S235JR GG.,J9174,7.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,980,33589,3762,0,3649,600.0,1910.0,1530.0,1530.0,868569679,2020-05-14,2020-05-14,9245,,,,4140409,DECOILEN,3,DE,4242,1.0,1.0,1.0,,,,"948 Sherry Groves Suite 600
New Jacob, MO 57126",PACKI,0.0,276194907,,567,5163597
4559,Bobby Brown,Mr. Louis Choi,PLAAT,LC08,S235J,S235JR GG.,J9174,8.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,371482834,9324053,3,715938,85733,600.0,1910.0,1530.0,1530.0,79801,2020-05-14,2020-05-14,886934,,,,8519150,DECOILEN,3,DE,95222,1.0,1.0,1.0,,,,"34690 Juan Mills Suite 518
Johnsonmouth, RI 15651",PACKI,0.0,409153,,64198,8436
4560,Kimberly York,Natalie Santos,PLAAT,LC06,S235J,S235JR GG.,J9174,10.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,34,7,76764045,697390,8217386,600.0,1910.0,1530.0,1530.0,6037449,2020-05-14,2020-05-29,834355,,,,0,DECOILEN,3,DE,527,1.0,1.0,1.0,,,,"PSC 5431, Box 2880
APO AA 15544",PACKI,0.0,36,,4428,5
4561,Yvonne Richardson,Christopher Owens,PLAAT,LC06,S235J,S235JR GG.,J9174,11.0,3000.0,1500.0,6,3000.0,1500.0,"5,92","2524,93",12,,2976-02,719,942,446,553,30283,600.0,1910.0,1530.0,1530.0,695,2020-05-14,2020-05-29,18179350,,,,276,DECOILEN,3,DE,6006185,1.0,1.0,1.0,,,,"87075 Chan Spur Apt. 459
Lake Kurtview, RI 49178",PACKI,0.0,184778504,,6839,3
